filename,l*,a*,b*,skin_tone,undertone
img2754.jpg,86.35,9.3,-1.56,light,cool
img6254.jpg,33.83,22.37,31.18,dark,warm
img5985.jpg,73.55,8.12,27.05,light,unclassified
img4443.jpg,62.34,19.11,17.7,medium,warm
img5749.jpg,69.34,11.08,15.33,medium,neutral
img5991.jpg,70.81,7.38,8.31,light,cool
img3338.jpg,62.57,16.02,21.55,medium,warm
img4457.jpg,67.98,18.36,20.76,medium,warm
img6526.jpg,68.24,15.08,7.34,medium,unclassified
img7638.jpg,45.69,14.86,16.08,medium,neutral
img2740.jpg,67.45,15.24,21.58,medium,warm
img1261.jpg,68.32,24.4,19.0,medium,warm
img3476.jpg,77.65,10.07,-4.51,light,unclassified
img5761.jpg,55.72,18.85,8.36,medium,unclassified
img7176.jpg,57.14,19.31,24.02,medium,warm
img7162.jpg,57.79,11.13,19.95,medium,neutral
img1513.jpg,49.28,13.38,17.57,medium,neutral
img1275.jpg,72.59,18.91,20.36,light,warm
img7604.jpg,59.84,25.02,29.46,medium,warm
img3489.jpg,68.26,12.47,16.79,medium,neutral
img5946.jpg,72.07,12.66,31.47,light,unclassified
img4480.jpg,76.69,8.66,17.36,light,unclassified
img6297.jpg,59.46,14.44,23.66,medium,unclassified
img5952.jpg,62.48,13.15,30.45,medium,unclassified
img4494.jpg,67.19,13.34,13.61,medium,neutral
img2783.jpg,71.26,20.01,26.98,light,warm
img2967.jpg,82.09,9.64,15.18,light,unclassified
img4641.jpg,65.01,16.82,13.9,medium,unclassified
img4899.jpg,48.56,27.17,34.8,medium,warm
img6056.jpg,59.93,25.31,19.86,medium,warm
img7348.jpg,62.64,29.25,20.81,medium,warm
img6730.jpg,64.95,23.34,39.84,medium,warm
img5239.jpg,49.84,11.35,10.18,medium,unclassified
img4133.jpg,41.01,13.31,10.56,medium,unclassified
img6724.jpg,64.39,20.45,32.7,medium,warm
img4655.jpg,55.76,19.98,25.47,medium,warm
img1705.jpg,68.72,19.6,22.62,medium,warm
img5563.jpg,67.25,13.45,18.31,medium,neutral
img3674.jpg,65.24,22.66,22.87,medium,warm
img22.jpg,52.83,16.31,14.89,medium,unclassified
img7406.jpg,66.09,23.08,4.03,medium,unclassified
img5211.jpg,51.28,21.86,29.16,medium,warm
img3660.jpg,69.26,21.47,22.05,medium,warm
img36.jpg,52.32,24.53,40.42,medium,warm
img4669.jpg,63.18,6.21,9.93,medium,cool
img482.jpg,56.45,21.92,30.82,medium,warm
img4682.jpg,57.27,16.42,21.09,medium,warm
img3853.jpg,60.99,18.47,31.55,medium,warm
img1088.jpg,60.07,20.71,16.81,medium,warm
img2581.jpg,81.83,9.05,10.98,light,cool
img1936.jpg,73.64,15.27,18.34,light,warm
img4866.jpg,72.0,14.78,18.19,light,neutral
img327.jpg,61.71,24.19,24.69,medium,warm
img6903.jpg,72.21,18.02,24.74,light,warm
img441.jpg,64.96,14.3,18.16,medium,neutral
img4735.jpg,55.63,4.08,15.97,medium,unclassified
img6122.jpg,63.07,15.67,27.33,medium,warm
img4053.jpg,36.49,18.24,16.03,dark,warm
img5359.jpg,69.65,16.58,23.36,medium,warm
img6650.jpg,30.39,20.75,21.53,dark,warm
img6888.jpg,39.81,6.88,18.83,dark,unclassified
img7228.jpg,45.26,13.48,17.0,medium,neutral
img1659.jpg,59.06,29.69,32.44,medium,warm
img6136.jpg,78.57,16.29,18.2,light,warm
img7200.jpg,57.69,15.88,15.35,medium,warm
img5371.jpg,71.71,11.94,33.48,light,unclassified
img6678.jpg,56.53,19.0,17.54,medium,warm
img1117.jpg,72.74,17.8,13.18,light,unclassified
img7566.jpg,41.34,12.79,20.47,medium,unclassified
img290.jpg,48.22,12.18,14.95,medium,neutral
img7572.jpg,61.76,7.83,11.86,medium,cool
img3714.jpg,29.9,17.8,17.85,dark,warm
img5365.jpg,68.79,10.35,15.01,medium,neutral
img5403.jpg,65.03,12.76,22.3,medium,unclassified
img2387.jpg,59.74,34.75,15.4,medium,warm
img3927.jpg,75.74,12.2,26.92,light,unclassified
img7599.jpg,52.61,10.67,19.25,medium,neutral
img6687.jpg,49.66,19.64,24.21,medium,warm
img6693.jpg,57.76,16.83,18.72,medium,warm
img4084.jpg,60.29,15.5,14.7,medium,unclassified
img2393.jpg,62.75,19.75,22.52,medium,warm
img247.jpg,63.78,18.9,27.67,medium,warm
img535.jpg,71.76,16.69,12.6,light,unclassified
img904.jpg,71.24,7.07,10.5,light,cool
img4523.jpg,71.69,19.23,29.12,light,warm
img2152.jpg,57.18,13.96,5.65,medium,unclassified
img6452.jpg,34.55,11.89,13.65,dark,neutral
img2634.jpg,45.66,10.45,5.26,medium,unclassified
img1473.jpg,63.65,25.0,13.21,medium,unclassified
img7002.jpg,52.0,22.39,28.68,medium,warm
img1467.jpg,62.52,15.78,26.68,medium,warm
img7016.jpg,35.35,24.68,5.81,dark,unclassified
img5601.jpg,59.71,14.76,16.32,medium,neutral
img5167.jpg,63.74,19.18,19.44,medium,warm
img2608.jpg,56.06,15.7,32.03,medium,warm
img1301.jpg,72.59,13.5,18.47,light,neutral
img5832.jpg,17.05,14.28,3.76,dark,unclassified
img2191.jpg,52.05,19.92,18.67,medium,warm
img5826.jpg,57.58,32.85,38.62,medium,warm
img5198.jpg,44.76,7.84,9.32,medium,cool
img723.jpg,78.87,8.31,11.76,light,cool
img737.jpg,62.3,17.94,10.31,medium,unclassified
img736.jpg,64.14,22.95,14.07,medium,unclassified
img722.jpg,83.05,11.07,16.48,light,neutral
img5827.jpg,56.59,14.84,16.52,medium,neutral
img2190.jpg,48.23,17.6,28.14,medium,warm
img6490.jpg,56.26,16.06,19.89,medium,warm
img3271.jpg,67.09,22.69,22.56,medium,warm
img7017.jpg,40.84,9.37,15.71,medium,unclassified
img6309.jpg,52.05,21.26,14.26,medium,unclassified
img2609.jpg,52.05,18.5,26.26,medium,warm
img7003.jpg,38.55,13.25,13.51,dark,neutral
img1472.jpg,29.95,14.98,15.08,dark,neutral
img939.jpg,51.0,15.6,8.01,medium,unclassified
img5614.jpg,68.63,8.0,8.09,medium,cool
img3265.jpg,61.59,24.1,30.99,medium,warm
img6335.jpg,52.82,14.47,11.39,medium,unclassified
img4522.jpg,71.02,14.74,18.41,light,neutral
img6453.jpg,49.14,16.37,13.76,medium,unclassified
img6447.jpg,63.26,21.52,26.42,medium,warm
img4250.jpg,42.19,31.66,23.75,medium,warm
img5628.jpg,87.59,2.14,5.79,light,cool
img3259.jpg,69.8,18.01,13.33,medium,unclassified
img6321.jpg,61.17,19.91,29.85,medium,warm
img252.jpg,56.83,15.75,18.05,medium,warm
img4907.jpg,32.53,17.39,20.59,dark,warm
img4913.jpg,63.12,18.77,14.23,medium,unclassified
img6862.jpg,65.8,22.82,21.14,medium,warm
img4085.jpg,60.5,11.61,13.43,medium,neutral
img3932.jpg,63.07,14.46,20.42,medium,unclassified
img2392.jpg,63.29,11.44,9.12,medium,unclassified
img7598.jpg,54.07,18.33,24.49,medium,warm
img4091.jpg,81.92,9.51,23.18,light,unclassified
img7573.jpg,53.28,27.52,30.71,medium,warm
img1102.jpg,68.82,10.62,22.88,medium,unclassified
img5402.jpg,55.13,14.56,18.06,medium,neutral
img4708.jpg,78.38,7.15,7.2,light,cool
img1670.jpg,68.0,19.13,14.34,medium,unclassified
img7201.jpg,56.21,31.14,16.0,medium,warm
img7567.jpg,40.88,23.52,26.9,medium,warm
img6679.jpg,70.6,15.44,18.81,light,warm
img3701.jpg,56.24,17.76,21.82,medium,warm
img6889.jpg,42.17,17.83,21.07,medium,warm
img6651.jpg,48.41,17.0,25.43,medium,warm
img6137.jpg,73.56,12.99,13.53,light,neutral
img1880.jpg,53.14,22.26,26.62,medium,warm
img7229.jpg,43.78,13.3,11.37,medium,unclassified
img6123.jpg,55.02,6.0,22.12,medium,unclassified
img1894.jpg,68.26,19.99,26.34,medium,warm
img4734.jpg,52.55,8.12,22.0,medium,unclassified
img6645.jpg,48.3,16.02,17.89,medium,warm
img6902.jpg,52.73,15.66,22.2,medium,warm
img4873.jpg,40.14,14.75,12.96,medium,unclassified
img440.jpg,54.49,19.17,27.4,medium,warm
img332.jpg,44.52,10.82,17.18,medium,neutral
img1089.jpg,66.31,14.52,13.29,medium,neutral
img4697.jpg,62.86,13.59,22.89,medium,unclassified
img6094.jpg,49.98,23.56,30.01,medium,warm
img37.jpg,46.52,22.94,27.97,medium,warm
img3661.jpg,57.13,29.0,18.24,medium,warm
img1076.jpg,76.69,19.09,7.74,light,unclassified
img7407.jpg,61.44,13.39,29.48,medium,unclassified
img7361.jpg,57.38,22.35,18.53,medium,warm
img1710.jpg,71.35,21.96,10.58,light,unclassified
img3107.jpg,59.84,21.09,26.05,medium,warm
img4668.jpg,74.04,17.17,32.85,light,warm
img5562.jpg,68.47,15.72,24.13,medium,warm
img3113.jpg,60.35,19.89,19.56,medium,warm
img7375.jpg,67.16,21.32,21.84,medium,warm
img1704.jpg,69.29,19.61,21.25,medium,warm
img23.jpg,62.44,18.4,10.21,medium,unclassified
img5204.jpg,50.14,16.9,18.64,medium,warm
img6725.jpg,70.16,15.44,25.54,light,warm
img4132.jpg,23.61,9.13,5.53,dark,cool
img2543.jpg,73.87,13.2,19.12,light,neutral
img3885.jpg,62.81,22.27,28.97,medium,warm
img2225.jpg,68.32,10.88,6.85,medium,unclassified
img6043.jpg,50.1,23.47,22.21,medium,warm
img7349.jpg,60.04,13.17,14.9,medium,neutral
img4640.jpg,68.98,8.71,10.88,medium,cool
img4126.jpg,48.83,27.42,45.35,medium,warm
img2557.jpg,60.1,16.88,19.63,medium,warm
img5238.jpg,59.47,5.68,17.5,medium,unclassified
